Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,,,
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.8,22.2,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression,,,
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.4,23.8,25,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,6.2,6.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),,,
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.7,6.6,6.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),,,
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,4.9,4.2,5.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.5,25.2,34.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.6,18,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,,,
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,74.9,71,78.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.4,11.6,15.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,CrdPrv,Mental Health,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6,5.5,6.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.7,26.2,35.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity,,,
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,75.2,71.4,78.7,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.6,18.7,24.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.5,17.8,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,11.8,15.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes,,,
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5,4.4,5.6,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,18.9,25.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression,,,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,5.8,7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),,,
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,5.3,4.7,5.9,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,,
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,5.3,4.7,5.9,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,21.1,18.5,23.7,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,24.9,21.9,27.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.7,6.9,8.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.2,8.3,10.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,7.1,6,8.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.6,7.3,9.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,25.1,20.6,29.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,25.8,21.1,30.6,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Age-adjusted prevalence,14.7,12.9,16.5,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Frequent Mental Distress,,
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,13.7,12,15.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,,
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,77.6,74,80.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.9,76.6,82.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup,,
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,19.1,16.3,22.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support,,
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,18.5,15.8,21.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,,
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Age-adjusted prevalence,29.8,25.7,34.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,AgeAdjPrv,Loneliness,,
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,28.3,24.3,32.6,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,CrdPrv,Loneliness,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.3,23.5,25.1,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,77,76.2,77.7,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,CrdPrv,Annual Checkup,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.1,19.5,20.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,23.3,22.5,24.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,CrdPrv,Obesity,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.3,21.5,23.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.1,6.7,7.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,CrdPrv,Diabetes,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.6,6.3,6.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),,,
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.4,11.2,13.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,CrdPrv,Mental Health,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.2,6.8,7.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.6,20,21.3,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,,,
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.8,76.2,77.4,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.8,6.6,7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),,,
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,12,11.1,12.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,,,
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.6,21.6,23.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,CrdPrv,Depression,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.3,25.2,34,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,6.7,8.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,5.9,7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),,,
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.9,11.8,15.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,CrdPrv,Mental Health,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,11.7,15.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,,,
2021,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,75.6,72,79.1,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,CrdPrv,Annual Checkup,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.7,18.2,23.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,,,
2021,NC,North Carolina,Davidson,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.2,4.4,6.1,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.6,18.8,24.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,,,
2021,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,75.5,71.9,79.1,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22,18.9,25.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,CrdPrv,Depression,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.6,6.5,8.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,CrdPrv,Diabetes,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,5.7,6.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.1,23.9,32.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,CrdPrv,Obesity,,,
2021,NC,North Carolina,Davidson,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5,4.4,5.7,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,,,
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.2,17.7,23,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,,,
2023,NC,North Carolina,Davidson,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,5.1,4.4,5.9,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,,
2023,NC,North Carolina,Davidson,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,5.4,4.6,6.3,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,21.1,18.5,23.6,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,23.2,20.5,25.9,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.8,7,8.5,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,8.9,8,9.7,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,24.6,21.3,28.1,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,23.9,20.7,27.4,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,DEPRESSION,CrdPrv,Depression,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,6.9,5.9,8,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,7.7,6.6,8.9,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,DIABETES,CrdPrv,Diabetes,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,24.7,20.2,29.2,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,23.5,19.3,28,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHOUT,OBESITY,CrdPrv,Obesity,,
2023,NC,North Carolina,Davidson,BRFSS,Health Status,Frequent mental distress among adults,%,Age-adjusted prevalence,14.4,12.7,16.4,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHSTAT,MHLTH,AgeAdjPrv,Frequent Mental Distress,,
2023,NC,North Carolina,Davidson,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,14,12.2,16,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,,
2023,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,77.9,74.3,81,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,
2023,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.4,75.9,82.3,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,PREVENT,CHECKUP,CrdPrv,Annual Checkup,,
2023,NC,North Carolina,Davidson,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,18.5,15.6,21.7,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support,,
2023,NC,North Carolina,Davidson,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,18.2,15.3,21.5,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,,
2023,NC,North Carolina,Davidson,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Age-adjusted prevalence,29.4,25.2,34.1,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,SOCLNEED,LONELINESS,AgeAdjPrv,Loneliness,,
2023,NC,North Carolina,Davidson,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,29.6,25.4,34.3,"11,909","15,106",POINT (-80.8209142 35.4806559),3716400,SOCLNEED,LONELINESS,CrdPrv,Loneliness,,
2019,NC,North Carolina,Huntersville,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.4,7.2,7.6,"46,933",POINT (-80.87857903 35.40587489),3733120,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,,,
2019,NC,North Carolina,Huntersville,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.5,24.1,24.9,"46,933",POINT (-80.87857903 35.40587489),3733120,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,
2019,NC,North Carolina,Huntersville,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.8,76.5,77.1,"46,933",POINT (-80.87857903 35.40587489),3733120,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,,,
2019,NC,North Carolina,Huntersville,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.5,22.1,22.9,"46,933",POINT (-80.87857903 35.40587489),3733120,HLTHOUT,DEPRESSION,CrdPrv,Depression,,,
2019,NC,North Carolina,Huntersville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.6,5.6,5.7,"46,933",POINT (-80.87857903 35.40587489),3733120,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),,,
